sensor_id,timestamp,temperatura
sensor_001,2025-06-30 21:45:43,36.71
sensor_001,2025-06-30 21:45:45,37.18
sensor_001,2025-06-30 21:45:47,37.33
sensor_001,2025-06-30 21:45:49,37.04
sensor_001,2025-06-30 21:45:51,37.16
sensor_001,2025-06-30 21:45:53,37.08
sensor_001,2025-06-30 21:45:55,37.34
sensor_001,2025-06-30 21:45:57,37.71
sensor_001,2025-06-30 21:45:59,37.72
sensor_001,2025-06-30 21:46:01,38.14
sensor_001,2025-06-30 21:47:22,37.43
sensor_001,2025-06-30 21:47:24,37.86
sensor_001,2025-06-30 21:47:26,37.61
sensor_001,2025-06-30 21:47:28,37.5
sensor_001,2025-06-30 21:47:30,37.39
sensor_001,2025-06-30 21:47:32,37.86
sensor_001,2025-06-30 21:47:34,38.28
sensor_001,2025-06-30 21:57:31,35.42
sensor_002,2025-06-30 21:57:32,35.99
sensor_001,2025-06-30 21:57:33,34.96
sensor_003,2025-06-30 21:57:33,36.42
sensor_002,2025-06-30 21:57:34,36.07
sensor_004,2025-06-30 21:57:34,35.37
sensor_001,2025-06-30 21:57:35,35.06
sensor_003,2025-06-30 21:57:35,36.14
sensor_005,2025-06-30 21:57:35,35.26
sensor_002,2025-06-30 21:57:36,36.29
sensor_004,2025-06-30 21:57:36,35.32
sensor_001,2025-06-30 21:57:37,34.95
sensor_003,2025-06-30 21:57:37,36.32
sensor_005,2025-06-30 21:57:37,35.16
sensor_002,2025-06-30 21:57:38,36.75
sensor_004,2025-06-30 21:57:38,35.44
sensor_001,2025-06-30 21:57:39,34.69
sensor_003,2025-06-30 21:57:39,35.87
sensor_005,2025-06-30 21:57:39,35.22
sensor_002,2025-06-30 21:57:40,36.59
sensor_004,2025-06-30 21:57:40,35.21
sensor_001,2025-06-30 21:57:41,34.19
sensor_003,2025-06-30 21:57:41,36.22
sensor_005,2025-06-30 21:57:41,35.41
sensor_002,2025-06-30 21:57:42,36.39
sensor_004,2025-06-30 21:57:42,35.35
sensor_001,2025-06-30 21:57:43,34.2
sensor_003,2025-06-30 21:57:43,36.54
sensor_005,2025-06-30 21:57:43,35.13
sensor_002,2025-06-30 21:57:44,35.94
sensor_004,2025-06-30 21:57:44,35.74
sensor_001,2025-06-30 21:57:45,33.96
sensor_003,2025-06-30 21:57:45,36.88
sensor_005,2025-06-30 21:57:45,35.34
sensor_002,2025-06-30 21:57:46,35.47
sensor_004,2025-06-30 21:57:46,35.81
sensor_001,2025-06-30 21:57:47,33.51
sensor_003,2025-06-30 21:57:47,37.13
sensor_005,2025-06-30 21:57:47,35.1
sensor_002,2025-06-30 21:57:48,35.56
sensor_004,2025-06-30 21:57:48,36.08
sensor_001,2025-06-30 21:57:49,33.56
sensor_003,2025-06-30 21:57:49,37.46
sensor_005,2025-06-30 21:57:49,35.46
sensor_002,2025-06-30 21:57:50,36.04
sensor_004,2025-06-30 21:57:50,36.11
sensor_001,2025-06-30 21:57:51,33.8
sensor_003,2025-06-30 21:57:51,37.78
sensor_005,2025-06-30 21:57:51,35.57
sensor_002,2025-06-30 21:57:52,35.7
sensor_004,2025-06-30 21:57:52,35.64
sensor_001,2025-06-30 21:57:53,34.14
sensor_003,2025-06-30 21:57:53,38.04
sensor_005,2025-06-30 21:57:53,36.07
sensor_002,2025-06-30 21:57:54,35.28
sensor_004,2025-06-30 21:57:54,35.92
sensor_001,2025-06-30 21:57:55,33.86
sensor_003,2025-06-30 21:57:55,36.8
sensor_005,2025-06-30 21:57:55,36.07
sensor_002,2025-06-30 21:57:56,35.67
sensor_004,2025-06-30 21:57:56,36.19
sensor_001,2025-06-30 21:57:57,34.04
sensor_003,2025-06-30 21:57:57,36.94
sensor_005,2025-06-30 21:57:57,36.08
sensor_002,2025-06-30 21:57:58,35.19
sensor_004,2025-06-30 21:57:58,36.64
sensor_001,2025-06-30 21:57:59,34.54
sensor_003,2025-06-30 21:57:59,36.46
sensor_005,2025-06-30 21:57:59,36.52
sensor_002,2025-06-30 21:58:00,34.72
sensor_004,2025-06-30 21:58:00,36.72
sensor_001,2025-06-30 21:58:01,35.01
sensor_003,2025-06-30 21:58:01,36.29
sensor_005,2025-06-30 21:58:01,36.82
sensor_002,2025-06-30 21:58:02,35.02
sensor_004,2025-06-30 21:58:02,36.52
sensor_001,2025-06-30 21:58:03,35.09
sensor_003,2025-06-30 21:58:03,36.13
sensor_005,2025-06-30 21:58:03,37.16
sensor_002,2025-06-30 21:58:04,34.93
sensor_004,2025-06-30 21:58:04,36.06
sensor_001,2025-06-30 21:58:05,35.14
sensor_003,2025-06-30 21:58:05,36.59
sensor_005,2025-06-30 21:58:05,36.75
sensor_002,2025-06-30 21:58:06,34.63
sensor_004,2025-06-30 21:58:06,36.32
sensor_001,2025-06-30 21:58:07,34.73
sensor_003,2025-06-30 21:58:07,36.72
sensor_005,2025-06-30 21:58:07,37.19
sensor_002,2025-06-30 21:58:08,34.36
sensor_004,2025-06-30 21:58:08,36.11
sensor_001,2025-06-30 21:58:09,35.15
sensor_003,2025-06-30 21:58:09,36.25
sensor_005,2025-06-30 21:58:09,37.04
sensor_002,2025-06-30 21:58:10,34.16
sensor_004,2025-06-30 21:58:10,36.6
sensor_001,2025-06-30 21:58:11,35.1
sensor_003,2025-06-30 21:58:11,36.62
sensor_005,2025-06-30 21:58:11,37.31
sensor_002,2025-06-30 21:58:12,34.46
sensor_004,2025-06-30 21:58:12,36.59
sensor_001,2025-06-30 21:58:13,35.54
sensor_003,2025-06-30 21:58:13,36.81
sensor_005,2025-06-30 21:58:13,37.5
sensor_002,2025-06-30 21:58:14,33.98
sensor_004,2025-06-30 21:58:14,36.69
sensor_001,2025-06-30 21:58:15,35.91
sensor_003,2025-06-30 21:58:15,36.41
sensor_005,2025-06-30 21:58:15,37.34
sensor_002,2025-06-30 21:58:16,33.51
sensor_004,2025-06-30 21:58:16,37.02
sensor_001,2025-06-30 21:58:17,35.99
sensor_003,2025-06-30 21:58:17,36.72
sensor_005,2025-06-30 21:58:17,37.32
sensor_002,2025-06-30 21:58:18,33.34
sensor_004,2025-06-30 21:58:18,37.16
sensor_001,2025-06-30 21:58:19,36.14
sensor_003,2025-06-30 21:58:19,37.16
sensor_005,2025-06-30 21:58:19,37.11
sensor_002,2025-06-30 21:58:20,32.89
sensor_004,2025-06-30 21:58:20,37.12
sensor_001,2025-06-30 21:58:21,36.22
sensor_003,2025-06-30 21:58:21,36.74
sensor_005,2025-06-30 21:58:21,36.85
sensor_002,2025-06-30 21:58:22,32.84
sensor_004,2025-06-30 21:58:22,37.47
sensor_001,2025-06-30 21:58:23,36.39
sensor_003,2025-06-30 21:58:23,37.03
sensor_005,2025-06-30 21:58:23,36.65
sensor_002,2025-06-30 21:58:24,33.09
sensor_004,2025-06-30 21:58:24,37.17
sensor_001,2025-06-30 21:58:25,36.45
sensor_003,2025-06-30 21:58:25,36.88
sensor_005,2025-06-30 21:58:25,36.71
sensor_002,2025-06-30 21:58:26,32.98
sensor_004,2025-06-30 21:58:26,37.54
sensor_001,2025-06-30 21:58:27,36.35
sensor_003,2025-06-30 21:58:27,36.75
sensor_005,2025-06-30 21:58:27,36.33
sensor_002,2025-06-30 21:58:28,33.4
sensor_004,2025-06-30 21:58:28,37.47
sensor_001,2025-06-30 21:58:29,36.83
sensor_003,2025-06-30 21:58:29,36.36
sensor_005,2025-06-30 21:58:29,35.88
sensor_002,2025-06-30 21:58:30,33.13
sensor_004,2025-06-30 21:58:30,37.81
sensor_001,2025-06-30 21:58:31,36.93
